seed,opponent,architecture,final_money,opponent_final_money,margin,win,total_purchase_spend,spend_hires,spend_seeds,spend_wheat,spend_animals,spend_land,spend_fertilizer,average_cash,minimum_cash,cash_day_5,cash_day_9,cash_day_11,cash_day_13,cash_day_20,cash_day_28,capital_efficiency,land_purchases,ne_unlock_day,sw_unlock_day,animal_purchases,seed_purchases,critical_wheat_purchases,feed_failures,shed_overflow_events,endgame_unsold_inventory,turns_with_slot_pressure,diverged_turns,changed_selection_turns,execution_reorder_only_turns,p0_inversions,suppressed_candidates_total
108,random,historical_stack,72500.0,0.0,72500.0,1,82490.0,75450.0,1721.0,2719.0,600.0,2000.0,0.0,24117.91,303.0,947.0,639.0,3305.0,17162.0,29751.0,65129.0,0.8789,1,6,,2,165,86,0,2,0,0,0,0,0,0,63
108,starter,historical_candidates_central,65287.0,3903.0,61384.0,1,84027.0,75450.0,1705.0,4272.0,600.0,2000.0,0.0,21387.22,306.0,948.0,621.0,3067.0,15066.0,26562.0,56978.0,0.777,1,6,,2,157,146,0,0,0,6,7,2,5,0,61
108,starter,historical_stack,65358.0,3903.0,61455.0,1,84027.0,75450.0,1705.0,4272.0,600.0,2000.0,0.0,21244.88,306.0,948.0,621.0,3067.0,13646.0,26592.0,57008.0,0.7778,1,6,,2,157,146,0,0,0,0,0,0,0,0,61
109,random,historical_candidates_central,76139.0,0.0,76139.0,1,82446.0,75450.0,1723.0,2673.0,600.0,2000.0,0.0,24068.25,303.0,947.0,510.0,3007.0,17836.0,28416.0,67472.0,0.9235,1,6,,2,163,84,0,1,0,7,7,3,4,0,62
109,random,historical_stack,76602.0,0.0,76602.0,1,83318.0,75450.0,1643.0,3625.0,600.0,2000.0,0.0,24222.24,303.0,947.0,510.0,3090.0,17011.0,29099.0,67853.0,0.9194,1,6,,2,153,112,0,2,0,0,0,0,0,0,59
109,starter,historical_candidates_central,65735.0,3597.0,62138.0,1,82393.0,75450.0,1670.0,2673.0,600.0,2000.0,0.0,21760.69,303.0,947.0,510.0,2658.0,17216.0,26076.0,59692.0,0.7978,1,6,,2,153,84,0,1,0,7,7,3,4,0,59
109,starter,historical_stack,65361.0,3597.0,61764.0,1,82393.0,75450.0,1670.0,2673.0,600.0,2000.0,0.0,21631.08,303.0,947.0,510.0,2658.0,16298.0,26105.0,59430.0,0.7933,1,6,,2,153,84,0,2,0,0,0,0,0,0,59
110,random,historical_candidates_central,71289.0,0.0,71289.0,1,83052.0,75450.0,1707.0,3295.0,600.0,2000.0,0.0,23784.58,303.0,947.0,500.0,3068.0,18745.0,29799.0,64605.0,0.8584,1,6,,2,155,98,0,2,0,10,8,4,4,0,60
110,random,historical_stack,69416.0,0.0,69416.0,1,82994.0,75450.0,1707.0,3237.0,600.0,2000.0,0.0,23302.8,303.0,947.0,500.0,3116.0,17911.0,29738.0,62913.0,0.8364,1,6,,2,155,98,0,3,0,0,0,0,0,0,60
110,starter,historical_candidates_central,75067.0,3356.0,71711.0,1,83056.0,75450.0,1707.0,3299.0,600.0,2000.0,0.0,24387.84,303.0,947.0,500.0,3053.0,18720.0,29863.0,67625.0,0.9038,1,6,,2,155,98,0,2,0,10,8,4,4,0,60
110,starter,historical_stack,75477.0,3375.0,72102.0,1,83056.0,75450.0,1707.0,3299.0,600.0,2000.0,0.0,24263.34,303.0,947.0,500.0,3053.0,17823.0,29897.0,67692.0,0.9087,1,6,,2,155,98,0,3,0,0,0,0,0,0,60
111,random,historical_candidates_central,69819.0,0.0,69819.0,1,82214.0,75450.0,1699.0,2465.0,600.0,2000.0,0.0,22551.61,303.0,947.0,577.0,2818.0,15829.0,26668.0,63559.0,0.8492,1,6,,2,154,77,0,1,0,9,7,2,5,0,54
111,random,historical_stack,70613.0,0.0,70613.0,1,82212.0,75450.0,1699.0,2463.0,600.0,2000.0,0.0,22926.08,303.0,947.0,579.0,2802.0,15753.0,27641.0,64439.0,0.8589,1,6,,2,154,78,0,1,0,0,0,0,0,0,54
111,starter,historical_candidates_central,72728.0,3717.0,69011.0,1,82277.0,75450.0,1702.0,2525.0,600.0,2000.0,0.0,23622.35,306.0,948.0,538.0,3070.0,16763.0,28489.0,66158.0,0.8839,1,6,,2,154,81,0,1,0,5,5,2,3,0,58
111,starter,historical_stack,72776.0,3717.0,69059.0,1,82277.0,75450.0,1702.0,2525.0,600.0,2000.0,0.0,23539.81,306.0,948.0,538.0,3070.0,15853.0,28520.0,66189.0,0.8845,1,6,,2,154,81,0,2,0,0,0,0,0,0,58
112,random,historical_candidates_central,75099.0,0.0,75099.0,1,82534.0,75450.0,1743.0,2741.0,600.0,2000.0,0.0,23938.91,303.0,947.0,500.0,2950.0,18745.0,28920.0,66843.0,0.9099,1,6,,2,155,84,0,2,0,9,8,4,4,0,62
112,random,historical_stack,59592.0,0.0,59592.0,1,83282.0,75450.0,1748.0,3484.0,600.0,2000.0,0.0,19215.58,306.0,948.0,573.0,2746.0,14660.0,24158.0,51437.0,0.7155,1,6,,2,159,118,0,1,0,0,0,0,0,0,59
112,starter,historical_candidates_central,73041.0,3356.0,69685.0,1,83020.0,75450.0,1707.0,3263.0,600.0,2000.0,0.0,23900.9,303.0,947.0,500.0,3046.0,18629.0,29383.0,65874.0,0.8798,1,6,,2,155,98,0,2,0,10,8,4,4,0,60
112,starter,historical_stack,73629.0,3369.0,70260.0,1,83020.0,75450.0,1707.0,3263.0,600.0,2000.0,0.0,23795.49,303.0,947.0,500.0,3046.0,17738.0,29423.0,66041.0,0.8869,1,6,,2,155,98,0,3,0,0,0,0,0,0,60
